sale_item_id,sale_id,product_id,quantity,unit_price,offer_id,subtotal,tiene_oferta
1,3,46,2,179.99,0,359.98,False
2,4,45,1,399.99,0,399.99,False
3,5,35,1,59.99,0,59.99,False
4,5,22,3,79.99,0,239.97,False
5,5,2,2,29.99,0,59.98,False
6,5,8,1,39.9,0,39.9,False
7,6,9,1,69.99,0,69.99,False
8,6,36,3,39.99,0,119.97,False
9,6,30,2,99.9,0,199.8,False
10,6,25,1,159.99,0,159.99,False
11,7,23,1,119.9,0,119.9,False
12,8,12,3,149.9,0,449.7,False
13,8,9,2,69.99,0,139.98,False
14,8,20,2,25.99,0,51.98,False
15,8,24,1,99.99,0,99.99,False
16,9,44,2,149.99,0,299.98,False
17,9,26,1,24.99,0,24.99,False
18,9,34,3,199.99,0,599.97,False
19,9,11,1,89.99,0,89.99,False
20,10,33,3,349.99,0,1049.97,False
21,10,42,3,139.99,0,419.97,False
22,10,37,1,129.99,0,129.99,False
23,11,12,2,149.9,0,299.8,False
24,11,33,2,349.99,0,699.98,False
25,11,47,3,69.9,0,209.7,False
26,12,10,2,19.99,0,39.98,False
27,13,7,2,149.99,0,299.98,False
28,13,43,1,299.99,0,299.99,False
29,13,45,3,399.99,0,1199.97,False
30,14,45,3,399.99,0,1199.97,False
31,15,50,1,159.99,0,159.99,False
32,15,9,2,69.99,0,139.98,False
33,16,18,2,129.9,0,259.8,False
34,17,36,1,39.99,0,39.99,False
35,17,40,3,89.99,0,269.97,False
36,17,19,2,39.9,0,79.8,False
37,17,3,1,24.9,0,24.9,False
38,18,3,3,24.9,0,74.7,False
39,19,34,1,199.99,0,199.99,False
40,19,13,2,129.99,0,259.98,False
41,19,7,1,149.99,0,149.99,False
42,20,43,1,299.99,0,299.99,False
43,20,3,2,24.9,0,49.8,False
44,20,30,1,99.9,0,99.9,False
45,20,17,1,299.99,0,299.99,False
46,21,16,3,99.9,0,299.7,False
47,21,9,3,69.99,0,209.97,False
48,22,28,3,59.99,0,179.97,False
49,23,25,2,159.99,0,319.98,False
50,23,43,2,299.99,0,599.98,False
51,23,34,2,199.99,0,399.98,False
52,23,35,1,59.99,0,59.99,False
53,24,8,2,39.9,0,79.8,False
54,24,47,2,69.9,0,139.8,False
55,25,36,1,39.99,0,39.99,False
56,26,50,2,159.99,0,319.98,False
57,26,42,2,139.99,0,279.98,False
58,26,34,1,199.99,0,199.99,False
59,27,43,3,299.99,0,899.97,False
60,28,43,2,299.99,0,599.98,False
61,28,17,1,299.99,0,299.99,False
62,29,42,2,139.99,0,279.98,False
63,29,49,2,79.99,0,159.98,False
64,30,6,1,49.9,0,49.9,False
65,30,3,3,24.9,0,74.7,False
66,31,42,1,139.99,0,139.99,False
67,31,2,1,29.99,0,29.99,False
68,32,45,2,399.99,0,799.98,False
69,33,12,2,149.9,0,299.8,False
70,33,18,1,129.9,0,129.9,False
71,33,35,1,59.99,0,59.99,False
72,33,15,3,89.9,0,269.7,False
